success,trial_type,trial_index,time_elapsed,internal_node_id,subject,date,time,line_1,line_2,line_3,rt,phase,stim_pos_y,stim_pos_x,first_stage,last_stage,show_money_val,p_o1,safe_val,o1_val,o2_val,o1_image,o2_image,safe_image,choice_image,key_press_num,choice,accept,outcome_reached,points_received,safe_val_base,safe_val_actual,p_trigger,trigger_val_base,trigger_val_actual,o1_trigger,safe_noise,trigger_noise,other_noise,matched_safe,gl_type,choice_number,trial_num,outcome_image,outcome_val,outcome_name,correct,key,practice_quiz_pct,practice_bonus_trial_points_avg,test_quiz_pct,test_bonus_trial_points_avg,stimulus,button_pressed
,evan-run-trial,15,222242,0.0-15.0,1,aug_19_2019,1716,,,,null,REW TEST 1,1,1,1,1,TRUE,0,20,0,70,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Hand.png,null,null,null,null,null,,,,,,,,,,,,,15,,,,,,,,,,,
,evan-reward-quiz,16,227247,0.0-16.0,1,aug_19_2019,1716,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stimuli/Evan_Stimuli/House.png,20,HOUSE,null,null,,,,,,
,evan-run-trial,17,237090,0.0-17.0,1,aug_19_2019,1716,,,,1689.115,TEST,1,1,1,4,TRUE,0.2,10,50,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,49,1,1,2,0,10,10,0.2,50,50,TRUE,0,0,0,TRUE,gain,1,17,,,,,,,,,,,
,evan-run-trial,18,247298,0.0-18.0,1,aug_19_2019,1716,,,,2056.81,TEST,1,1,1,4,TRUE,0.4,40,90,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Hand.png,49,1,1,2,0,40,40,0.4,90,90,TRUE,0,0,0,TRUE,gain,2,18,,,,,,,,,,,
,evan-run-trial,19,256774,0.0-19.0,1,aug_19_2019,1716,,,,1337.475,TEST,1,1,1,4,TRUE,0.6,40,0,50,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Pepper.png,50,2,0,3,40,40,40,0.4,50,50,FALSE,0,0,0,FALSE,gain,3,19,,,,,,,,,,,
,evan-run-trial,20,269034,0.0-20.0,1,aug_19_2019,1716,,,,4134.165,TEST,1,1,1,4,TRUE,0.2,20,70,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,50,2,0,3,20,20,20,0.2,70,70,TRUE,0,0,0,FALSE,gain,1,20,,,,,,,,,,,
,evan-display-text,21,274038,0.0-21.0,1,aug_19_2019,1716,The next set of games will all have negative points.,Collecting more of these will make your bonus smaller.,,5002.52,TRAIN INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,evan-run-trial,22,284314,0.0-22.0,1,aug_19_2019,1716,,,,2131.525,TEST,1,1,1,4,TRUE,0.8,-10,0,-70,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Butterfly.png,49,1,1,1,0,-10,-10,0.2,-70,-70,FALSE,0,0,0,TRUE,loss,4,22,,,,,,,,,,,
,evan-run-trial,23,295439,0.0-23.0,1,aug_19_2019,1716,,,,2976.66,TEST,1,1,1,4,TRUE,0.6,-40,0,-50,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Pepper.png,49,1,1,1,0,-40,-40,0.4,-50,-50,FALSE,0,0,0,FALSE,loss,3,23,,,,,,,,,,,
,evan-run-trial,24,309284,0.0-24.0,1,aug_19_2019,1716,,,,5691.025,TEST,1,1,1,4,TRUE,0.4,-40,0,-70,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Hand.png,49,1,1,1,0,-40,-40,0.6,-70,-70,FALSE,0,0,0,TRUE,loss,2,24,,,,,,,,,,,
